Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
NIK   ,HIGH,IEL,CFS,CY ,2014-02-17,68.2550000000,MY,DW
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,3.1690000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,18.7900000000,CN,GH
NIK   ,TRAI,IEL,CFS,CY ,2014-02-13,5.0880000000,CN,GH
NIK   ,DRY ,IEL,CFS,CFS,2014-04-06,0.0000000000,CN,PP
NIK   ,DRY ,IEL,CFS,CY ,2014-02-17,27.7200000000,MY,DW
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,27.3100000000,CN,NL
NIK   ,TRAI,IEL,CFS,CY ,2014-02-12,3.1400000000,CN,WA
NIK   ,DRY ,IEL,CFS,CY ,2014-02-18,55.6500000000,TH,AA
NIK   ,DRY ,IEL,CFS,CY ,2014-02-15,32.6700000000,CN,EE
NIK   ,DRY ,IEL,CFS,CY ,2014-02-14,49.1700000000,CN,KG
NIK   ,DRY ,IEL,CFS,CY ,2014-02-17,28.2290000000,MY,DW
NIK   ,DRY ,IEL,CFS,CY ,2014-02-14,51.9900000000,CN,KG
NIK   ,DRY ,IEL,CFS,CY ,2014-02-21,10.8200000000,CN,HD
NIK   ,HIGH,OCE,CFS,CFS,2014-02-08,1.0000000000,TR,KL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-11,1.2500000000,CN,US
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.3200000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-17,77.9910000000,LK,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.9900000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.1800000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,68.5300000000,VN,AA
NIK   ,HIGH,OCE,CFS,CFS,2014-02-08,3.5200000000,TR,PK
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,68.4800000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.4700000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,69.6400000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,68.6400000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,68.6900000000,VN,AA
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,5.8800000000,VN,TJ
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.4300000000,VN,YO
NIK   ,HIGH,IEL,CFS,CY ,2014-02-13,70.5100000000,VN,YO
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,58.9500000000,VN,YO
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,60.2800000000,VN,YO
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,26.7900000000,VN,FL
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,53.3000000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,42.6100000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,60.1300000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,33.7800000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,33.7300000000,VN,HD
NIK   ,DRY ,IEL,CFS,CY ,2014-02-13,33.5300000000,VN,FL
NIK   ,TRAI,IEL,CFS,CY ,2014-02-14,0.7300000000,CN,WA
NIK   ,DRY ,IEL,CY ,CY ,2014-02-12,57.7500000000,ID,YO
NIK   ,DRY ,IEL,CY ,CY ,2014-02-12,57.6300000000,ID,YO
NIK   ,AIR ,AIR,CFS,CFS,2014-02-08,0.0000000000,LK,PP
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,27.2530000000,LK,XB
NIK   ,HIGH,OCE,CFS,CFS,2014-02-09,2.8200000000,TR,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-14,64.8400000000,ID,KL
NIK   ,AIR ,AIR,CFS,CFS,2014-02-11,0.3900000000,IT,KG
NIK   ,HIGH,OCE,CFS,CFS,2014-02-09,1.1850000000,TR,EL
NIK   ,TRAI,IEL,CFS,CY ,2014-02-18,1.7000000000,CN,WA
NIK   ,DRY ,IEL,CFS,CY ,2014-02-12,6.5400000000,LK,GH
NIK   ,HIGH,IEL,CY ,CY ,2014-02-16,64.1500000000,ID,US
NIK   ,HIGH,IEL,CY ,CY ,2014-02-16,64.1300000000,ID,US
NIK   ,DRY ,IEL,CFS,CY ,2014-02-17,44.1600000000,TH,YO
NIK   ,HIGH,IEL,CY ,CY ,2014-02-14,64.7100000000,ID,AA
NIK   ,HIGH,IEL,CY ,CY ,2014-02-14,65.0400000000,ID,AA
