Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
Customer1   ,HIGH,IEL,CFS,CY ,10/02/2014,78.42,ID,BE
Customer1   ,DRY ,IEL,CFS,CY ,10/02/2014,7.596,PK,MY
Customer1   ,AIR ,AIR,CFS,CY ,11/02/2014,0.27,VN,BE
Customer1   ,DRY ,IEL,CY ,CY ,10/02/2014,54.26,ID,JP
Customer1   ,DRY ,IEL,CY ,CY ,10/02/2014,54.31,ID,JP
Customer1   ,TRAI,IEL,CFS,CY ,10/02/2014,5.43,CN,CN
Customer1   ,DRY ,IEL,CFS,CY ,10/02/2014,2.01,KH,JP
Customer1   ,HIGH,IEL,CY ,CY ,10/02/2014,70.24,ID,BE
Customer1   ,HIGH,IEL,CFS,CFS,07/03/2014,0,CN,MY
Customer1   ,AIR ,AIR,CFS,CY ,07/03/2014,1.3,US,GB
Customer1   ,HIGH,IEL,CFS,CFS,07/03/2014,0,CN,MY
Customer1   ,AIR ,AIR,CFS,CFS,07/03/2014,0.558,IL,TH
Customer1   ,HIGH,IEL,CFS,CFS,07/03/2014,0,CN,MY
Customer1   ,HIGH,IEL,CFS,CFS,07/03/2014,0,CN,MY
Customer1   ,HIGH,IEL,CFS,CFS,07/03/2014,0,CN,MY
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,30.96,IL,BE
Customer1   ,DRY ,IEL,CY ,CY ,29/03/2014,54.42,ID,KR
Customer1   ,HIGH,IEL,CY ,CY ,06/03/2014,68,CN,BE
Customer1   ,TRAI,IEL,CFS,CY ,07/03/2014,22.84,TR,BE
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,14.114,CN,MY
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,12.733,CN,MY
Customer1   ,DRY ,IEL,CFS,CY ,06/03/2014,5.976,VN,JP
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,26.19,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,33.913,CN,NL
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,25.03,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,20.725,CN,GB
Customer1   ,DRY ,IEL,CFS,CY ,07/03/2014,5.17,HK,CN
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,68.271,ID,CN
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,68.259,ID,CN
Customer1   ,TRAI,IEL,CY ,CY ,07/03/2014,7.83,IT,BE
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,68.266,ID,CN
Customer1   ,DRY ,OCE,CY ,CFS,07/03/2014,2.42,BG,MY
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,68.484,ID,CN
Customer1   ,HIGH,IEL,CFS,CFS,10/02/2014,0,KH,MY
Customer1   ,DRY ,IEL,CFS,CY ,06/03/2014,21.69,CN,JP
